accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00002471799,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010749,2021-06-22 14:55:16+02,2021-06-22 14:55:16+02
EGAX00002471800,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010750,2021-06-22 14:55:20+02,2021-06-22 14:55:20+02
EGAX00002471801,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010751,2021-06-22 14:55:24+02,2021-06-22 14:55:24+02
EGAX00002471802,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010752,2021-06-22 14:55:28+02,2021-06-22 14:55:28+02
EGAX00002471803,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010753,2021-06-22 14:55:31+02,2021-06-22 14:55:31+02
EGAX00002471804,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010754,2021-06-22 14:55:35+02,2021-06-22 14:55:35+02
EGAX00002471805,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010755,2021-06-22 14:55:39+02,2021-06-22 14:55:39+02
EGAX00002471806,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010756,2021-06-22 14:55:43+02,2021-06-22 14:55:43+02
EGAX00002471807,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010757,2021-06-22 14:55:47+02,2021-06-22 14:55:47+02
EGAX00002471808,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010758,2021-06-22 14:55:51+02,2021-06-22 14:55:51+02
EGAX00002471809,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010759,2021-06-22 14:55:55+02,2021-06-22 14:55:55+02
EGAX00002471810,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010760,2021-06-22 14:55:58+02,2021-06-22 14:55:58+02
EGAX00002471811,Whole genome sequencing,,,,,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,unspecified,,EGAS00001005340,EGA00002010761,2021-06-22 14:56:02+02,2021-06-22 14:56:02+02
