sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGH20N_10,EGAN00003221070,SAMEA9240958,EGAR00002846314,EGAX00002471799,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_11,EGAN00003220777,SAMEA9240665,EGAR00002846315,EGAX00002471800,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_12,EGAN00003220813,SAMEA9240701,EGAR00002846316,EGAX00002471801,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_13,EGAN00003220790,SAMEA9240678,EGAR00002846317,EGAX00002471802,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_14,EGAN00003220789,SAMEA9240677,EGAR00002846318,EGAX00002471803,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_15,EGAN00003220788,SAMEA9240676,EGAR00002846319,EGAX00002471804,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_16,EGAN00003220787,SAMEA9240675,EGAR00002846320,EGAX00002471805,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_17,EGAN00003220795,SAMEA9240683,EGAR00002846321,EGAX00002471806,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_18,EGAN00003220793,SAMEA9240681,EGAR00002846322,EGAX00002471807,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_19,EGAN00003220965,SAMEA9240372,EGAR00002846323,EGAX00002471808,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_20,EGAN00003220961,SAMEA9240345,EGAR00002846324,EGAX00002471809,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_21,EGAN00003220960,SAMEA9240331,EGAR00002846325,EGAX00002471810,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_22,EGAN00003220964,SAMEA9240367,EGAR00002846326,EGAX00002471811,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_23,EGAN00003220963,SAMEA9240358,EGAR00002846327,EGAX00002471812,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_24,EGAN00003220959,SAMEA9240320,EGAR00002846328,EGAX00002471813,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_25,EGAN00003220958,SAMEA9240312,EGAR00002846329,EGAX00002471814,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_26,EGAN00003221066,SAMEA9240954,EGAR00002846330,EGAX00002471815,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_27,EGAN00003221062,SAMEA9240950,EGAR00002846331,EGAX00002471816,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_28,EGAN00003221063,SAMEA9240951,EGAR00002846332,EGAX00002471817,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_30,EGAN00003221074,SAMEA9240962,EGAR00002846333,EGAX00002471818,EGAS00001005340,ENA-CHECKLIST=ERC000026
