accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00002846314,bam,,EGAN00003221070,EGAX00002471799,EGA00002010749,2021-06-22 14:55:16+02,2021-10-07 16:23:40+02
EGAR00002846315,bam,,EGAN00003220777,EGAX00002471800,EGA00002010750,2021-06-22 14:55:20+02,2021-10-07 16:23:39+02
EGAR00002846316,bam,,EGAN00003220813,EGAX00002471801,EGA00002010751,2021-06-22 14:55:24+02,2021-10-07 16:23:39+02
EGAR00002846317,bam,,EGAN00003220790,EGAX00002471802,EGA00002010752,2021-06-22 14:55:28+02,2021-10-07 16:23:39+02
EGAR00002846318,bam,,EGAN00003220789,EGAX00002471803,EGA00002010753,2021-06-22 14:55:31+02,2021-10-07 16:23:40+02
EGAR00002846319,bam,,EGAN00003220788,EGAX00002471804,EGA00002010754,2021-06-22 14:55:35+02,2021-10-07 16:23:39+02
EGAR00002846320,bam,,EGAN00003220787,EGAX00002471805,EGA00002010755,2021-06-22 14:55:39+02,2021-10-07 16:23:40+02
EGAR00002846321,bam,,EGAN00003220795,EGAX00002471806,EGA00002010756,2021-06-22 14:55:43+02,2021-10-07 16:23:39+02
EGAR00002846322,bam,,EGAN00003220793,EGAX00002471807,EGA00002010757,2021-06-22 14:55:47+02,2021-10-07 16:23:40+02
EGAR00002846323,bam,,EGAN00003220965,EGAX00002471808,EGA00002010758,2021-06-22 14:55:51+02,2021-10-07 16:23:39+02
EGAR00002846324,bam,,EGAN00003220961,EGAX00002471809,EGA00002010759,2021-06-22 14:55:55+02,2021-10-07 16:23:40+02
EGAR00002846325,bam,,EGAN00003220960,EGAX00002471810,EGA00002010760,2021-06-22 14:55:58+02,2021-10-07 16:23:39+02
EGAR00002846326,bam,,EGAN00003220964,EGAX00002471811,EGA00002010761,2021-06-22 14:56:02+02,2021-10-07 16:23:40+02
EGAR00002846327,bam,,EGAN00003220963,EGAX00002471812,EGA00002010762,2021-06-22 14:56:06+02,2021-10-07 16:23:39+02
