sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003160957,CGPLLU286P,CGPLLU286P.bam,EGAF00005323192
EGAN00003220299,CGPLLU415P,CGPLLU415P.bam,EGAF00005323325
EGAN00003220300,CGPLLU332P,CGPLLU332P.bam,EGAF00005323242
EGAN00003220301,CGPLLU520P,CGPLLU520P.bam,EGAF00005323431
EGAN00003220302,CGPLLU395P,CGPLLU395P.bam,EGAF00005323304
EGAN00003220303,CGPLLU418P,CGPLLU418P.bam,EGAF00005323328
EGAN00003220304,CGPLLU287P,CGPLLU287P.bam,EGAF00005323193
EGAN00003220305,CGPLLU424P,CGPLLU424P.bam,EGAF00005323334
EGAN00003220306,CGPLH826P,CGPLH826P.bam,EGAF00005322993
EGAN00003220307,CGPLLU423P,CGPLLU423P.bam,EGAF00005323333
EGAN00003220308,CGPLH829P,CGPLH829P.bam,EGAF00005322996
EGAN00003220309,CGPLLU634P,CGPLLU634P.bam,EGAF00005323544
EGAN00003220310,CGPLH825P,CGPLH825P.bam,EGAF00005322992
EGAN00003220311,CGPLLU420P,CGPLLU420P.bam,EGAF00005323330
EGAN00003220312,CGPLLU315P,CGPLLU315P.bam,EGAF00005323225
EGAN00003220313,CGPLLU430P,CGPLLU430P.bam,EGAF00005323340
EGAN00003220314,CGPLLU429P,CGPLLU429P.bam,EGAF00005323339
EGAN00003220315,CGPLLU495P,CGPLLU495P.bam,EGAF00005323405
EGAN00003220316,CGPLLU426P,CGPLLU426P.bam,EGAF00005323336
EGAN00003220317,CGPLLU568P,CGPLLU568P.bam,EGAF00005323479
EGAN00003220318,CGPLLU414P,CGPLLU414P.bam,EGAF00005323324
EGAN00003220319,CGPLLU422P,CGPLLU422P.bam,EGAF00005323332
EGAN00003220320,CGPLLU412P,CGPLLU412P.bam,EGAF00005323322
EGAN00003220321,CGPLLU338P,CGPLLU338P.bam,EGAF00005323248
EGAN00003220322,CGPLLU409P,CGPLLU409P.bam,EGAF00005323319
EGAN00003220323,CGPLLU408P,CGPLLU408P.bam,EGAF00005323318
EGAN00003220324,CGPLLU624P,CGPLLU624P.bam,EGAF00005323534
EGAN00003220325,CGPLLU367P,CGPLLU367P.bam,EGAF00005323277
EGAN00003220326,CGPLLU435P,CGPLLU435P.bam,EGAF00005323345
EGAN00003220327,CGPLLU467P,CGPLLU467P.bam,EGAF00005323377
EGAN00003220328,CGPLLU290P,CGPLLU290P.bam,EGAF00005323197
EGAN00003220329,CGPLLU481P,CGPLLU481P.bam,EGAF00005323391
EGAN00003220330,CGPLLU547P,CGPLLU547P.bam,EGAF00005323458
EGAN00003220331,CGPLLU581P,CGPLLU581P.bam,EGAF00005323491
EGAN00003220332,CGPLLU580P,CGPLLU580P.bam,EGAF00005323490
EGAN00003220333,CGPLLU466P,CGPLLU466P.bam,EGAF00005323376
EGAN00003220334,CGPLLU501P,CGPLLU501P.bam,EGAF00005323412
EGAN00003220335,CGPLLU294P,CGPLLU294P.bam,EGAF00005323201
EGAN00003220336,CGPLLU511P,CGPLLU511P.bam,EGAF00005323422
EGAN00003220337,CGPLLU297P,CGPLLU297P.bam,EGAF00005323204
EGAN00003220338,CGPLLU486P,CGPLLU486P.bam,EGAF00005323396
EGAN00003220339,CGPLLU533P,CGPLLU533P.bam,EGAF00005323444
EGAN00003220340,CGPLLU312P,CGPLLU312P.bam,EGAF00005323222
EGAN00003220341,CGPLLU551P,CGPLLU551P.bam,EGAF00005323462
EGAN00003220342,CGPLLU225P,CGPLLU225P.bam,EGAF00005323156
EGAN00003220343,CGPLLU226P,CGPLLU226P.bam,EGAF00005323157
