study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471799,EGAR00002846314,EGAN00003221070,CGH20N_10,SAMEA9240958,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471800,EGAR00002846315,EGAN00003220777,CGH20N_11,SAMEA9240665,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471801,EGAR00002846316,EGAN00003220813,CGH20N_12,SAMEA9240701,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471802,EGAR00002846317,EGAN00003220790,CGH20N_13,SAMEA9240678,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471803,EGAR00002846318,EGAN00003220789,CGH20N_14,SAMEA9240677,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471804,EGAR00002846319,EGAN00003220788,CGH20N_15,SAMEA9240676,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471805,EGAR00002846320,EGAN00003220787,CGH20N_16,SAMEA9240675,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471806,EGAR00002846321,EGAN00003220795,CGH20N_17,SAMEA9240683,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471807,EGAR00002846322,EGAN00003220793,CGH20N_18,SAMEA9240681,
EGAS00001005340,Detection and characterization of lung cancer using cell-free DNA fragmentomes,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,WGS,GENOMIC,unspecified,EGAX00002471808,EGAR00002846323,EGAN00003220965,CGH20N_19,SAMEA9240372,
