feature,classifier,weighting_function,top_genes,fold,auc,source_dir
fslr,K-Nearest Neighbors,mean_diff,10000,1,0.47619047619047616,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,2,0.6398809523809524,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,3,0.5625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,4,0.6607142857142857,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,5,0.7440476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,6,0.5714285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,7,0.75,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,8,0.6428571428571428,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,9,0.5714285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10000,10,0.5416666666666666,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,1,0.9107142857142857,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,2,0.8333333333333333,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,3,0.6071428571428572,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,4,0.7440476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,5,0.9464285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,6,0.6875,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,7,0.824404761904762,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,8,0.6130952380952381,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,9,0.8154761904761905,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1000,10,0.898809523809524,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,1,0.7916666666666667,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,2,0.5476190476190477,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,3,0.6904761904761905,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,4,0.8511904761904762,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,5,0.7351190476190477,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,6,0.7559523809523809,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,7,0.7321428571428572,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,8,0.8571428571428572,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,9,0.7321428571428571,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,100,10,0.8690476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,1,0.6726190476190476,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,2,0.443452380952381,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,3,0.8214285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,4,0.9285714285714286,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,5,0.8452380952380951,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,6,0.7291666666666666,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,7,0.7738095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,8,0.7321428571428572,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,9,0.7440476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,10,10,0.6488095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,1,0.5,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,2,0.5714285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,3,0.5625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,4,0.625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,5,0.7202380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,6,0.5952380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,7,0.625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,8,0.47619047619047616,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,9,0.47619047619047616,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,14224,10,0.625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,1,0.8869047619047619,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,2,0.875,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,3,0.7142857142857143,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,4,0.8392857142857143,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,5,0.9077380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,6,0.6190476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,7,0.7976190476190476,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,8,0.7023809523809523,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,9,0.7738095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,1500,10,0.75,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,1,0.7678571428571428,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,2,0.7113095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,3,0.5625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,4,0.8273809523809523,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,5,0.9047619047619048,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,6,0.6964285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,7,0.8690476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,8,0.6785714285714286,brca_crc_dd
