method,subset,series,fpr,tpr,tpr_lower,tpr_upper
dd,withheld,mean,0.0,0.0,,
dd,withheld,mean,0.01,0.475,,
dd,withheld,mean,0.02,0.475,,
dd,withheld,mean,0.03,0.7375,,
dd,withheld,mean,0.04,0.7375,,
dd,withheld,mean,0.05,0.8125,,
dd,withheld,mean,0.06,0.8125,,
dd,withheld,mean,0.07,0.8125,,
dd,withheld,mean,0.08,0.9125,,
dd,withheld,mean,0.09,0.9125,,
dd,withheld,mean,0.1,0.9125,,
dd,withheld,mean,0.11,0.9125,,
dd,withheld,mean,0.12,0.925,,
dd,withheld,mean,0.13,0.925,,
dd,withheld,mean,0.14,0.925,,
dd,withheld,mean,0.15,0.925,,
dd,withheld,mean,0.16,0.925,,
dd,withheld,mean,0.17,0.975,,
dd,withheld,mean,0.18,0.975,,
dd,withheld,mean,0.19,0.975,,
dd,withheld,mean,0.2,0.975,,
dd,withheld,mean,0.21,0.975,,
dd,withheld,mean,0.22,0.975,,
dd,withheld,mean,0.23,0.975,,
dd,withheld,mean,0.24,0.975,,
dd,withheld,mean,0.25,0.975,,
dd,withheld,mean,0.26,0.975,,
dd,withheld,mean,0.27,0.9875,,
dd,withheld,mean,0.28,0.9875,,
dd,withheld,mean,0.29,0.9875,,
dd,withheld,mean,0.3,0.9875,,
dd,withheld,mean,0.31,0.9875,,
dd,withheld,mean,0.32,0.9875,,
dd,withheld,mean,0.33,0.9875,,
dd,withheld,mean,0.34,0.9875,,
dd,withheld,mean,0.35000000000000003,0.9875,,
dd,withheld,mean,0.36,1.0,,
dd,withheld,mean,0.37,1.0,,
dd,withheld,mean,0.38,1.0,,
dd,withheld,mean,0.39,1.0,,
dd,withheld,mean,0.4,1.0,,
dd,withheld,mean,0.41000000000000003,1.0,,
dd,withheld,mean,0.42,1.0,,
dd,withheld,mean,0.43,1.0,,
dd,withheld,mean,0.44,1.0,,
dd,withheld,mean,0.45,1.0,,
dd,withheld,mean,0.46,1.0,,
dd,withheld,mean,0.47000000000000003,1.0,,
dd,withheld,mean,0.48,1.0,,
dd,withheld,mean,0.49,1.0,,
dd,withheld,mean,0.5,1.0,,
dd,withheld,mean,0.51,1.0,,
dd,withheld,mean,0.52,1.0,,
dd,withheld,mean,0.53,1.0,,
dd,withheld,mean,0.54,1.0,,
dd,withheld,mean,0.55,1.0,,
dd,withheld,mean,0.56,1.0,,
dd,withheld,mean,0.5700000000000001,1.0,,
dd,withheld,mean,0.58,1.0,,
dd,withheld,mean,0.59,1.0,,
dd,withheld,mean,0.6,1.0,,
dd,withheld,mean,0.61,1.0,,
dd,withheld,mean,0.62,1.0,,
dd,withheld,mean,0.63,1.0,,
dd,withheld,mean,0.64,1.0,,
dd,withheld,mean,0.65,1.0,,
dd,withheld,mean,0.66,1.0,,
dd,withheld,mean,0.67,1.0,,
dd,withheld,mean,0.68,1.0,,
dd,withheld,mean,0.6900000000000001,1.0,,
dd,withheld,mean,0.7000000000000001,1.0,,
dd,withheld,mean,0.71,1.0,,
dd,withheld,mean,0.72,1.0,,
dd,withheld,mean,0.73,1.0,,
dd,withheld,mean,0.74,1.0,,
dd,withheld,mean,0.75,1.0,,
dd,withheld,mean,0.76,1.0,,
dd,withheld,mean,0.77,1.0,,
dd,withheld,mean,0.78,1.0,,
dd,withheld,mean,0.79,1.0,,
