shuffle_idx,seed,cv_auc_mean,cv_auc_std,full_auc,n_selected,weights_type,mean_abs_weight,top_k_jaccard_with_true,weight_correlation_with_true
1,42,0.5160714285714286,0.0839707762846174,0.0009821428571428,14219,coefficients,0.0009003772674614,0.0378827192527244,-0.0265633411127716
2,43,0.4660714285714286,0.117641999399346,0.0125595238095238,14219,coefficients,0.0009020879485154,0.0395010395010395,-0.0191285447226775
3,44,0.4169642857142858,0.1095824280245059,0.0002083333333333,14219,coefficients,0.000875887298101,0.0422094841063053,0.0933190785908159
4,45,0.4205357142857142,0.080917906700041,0.9888690476190476,14219,coefficients,0.0008937852348825,0.0346611484738748,0.0417185106929062
5,46,0.555952380952381,0.0938590635448905,0.9965178571428572,14219,coefficients,0.0008859932853463,0.0314595152140278,-0.0185442264483781
6,47,0.4357142857142856,0.1273809523809523,0.997797619047619,14219,coefficients,0.0008958307106919,0.0389610389610389,0.0998645088199163
7,48,0.4642857142857143,0.1018883498132362,0.0147619047619047,14219,coefficients,0.0009042320188594,0.0325245224574083,-0.0075548735676945
8,49,0.4410714285714285,0.1316122444144867,0.9845833333333334,14219,coefficients,0.0008859407357323,0.0373443983402489,-0.126423194661763
9,50,0.5330357142857143,0.1100019486788844,0.0048214285714285,14219,coefficients,0.0008989292111546,0.0341261633919338,-0.0578763347570791
10,51,0.4654761904761905,0.1140871290543898,0.983511904761905,14219,coefficients,0.0008783431128774,0.0330578512396694,-0.0483900596477378
