n_genes,external_auc,training_cv_auc,feature,classifier
10,0.523045267489712,0.7715079365079365,fslr,Random Forest
25,0.4865020576131687,0.7741496598639455,fslr,Random Forest
50,0.5692181069958847,0.7484693877551021,griffin_diff,Support Vector Machine
100,0.6453497942386831,0.8013378684807255,griffin_diff,Multi-Layer Perceptron
250,0.6009053497942387,0.850079365079365,griffin_diff,Support Vector Machine
500,0.6527572016460905,0.8963265306122448,griffin_diff,Support Vector Machine
1000,0.6536625514403291,0.9162925170068025,griffin_diff,Support Vector Machine
1500,0.6633333333333333,0.9183219954648525,griffin_diff,Support Vector Machine
2500,0.6662551440329219,0.9219160997732425,griffin_diff,Support Vector Machine
5000,0.668724279835391,0.9215532879818594,griffin_diff,Logistic Regression
10000,0.6728395061728395,0.9453741496598639,griffin_diff,Logistic Regression
15000,0.693991769547325,0.9467687074829932,griffin_diff,Logistic Regression
