tss_index,chrom,gene_name,mean_coverage,std_coverage,in_blacklist,in_chrX,in_overlapping,in_high_variability,removed
0,chr1,OR4F5,0.2805398205373232,0.2566382285864559,True,False,False,False,True
1,chr1,OR4F29,0.009190137815544999,0.010652546042059436,True,False,False,False,True
2,chr1,OR4F16,0.06619250938149818,0.042139150405556436,True,False,False,False,True
3,chr1,SAMD11,2.309778031583081,0.6086775913202603,False,False,False,False,False
4,chr1,NOC2L,1.646197842878283,0.40618974949868053,False,False,True,False,True
5,chr1,KLHL17,1.6079928677522235,0.4091669089473671,False,False,True,False,True
6,chr1,PLEKHN1,1.986312025513313,0.5203434202131036,False,False,False,False,False
7,chr1,PERM1,1.7577394912136703,0.4656106491478418,False,False,False,False,False
8,chr1,HES4,1.893359968649709,0.4697680980339795,False,False,False,False,False
9,chr1,ISG15,1.5386585768081862,0.3916836162403043,False,False,False,False,False
10,chr1,AGRN,1.7037413118954348,0.4224039977721199,False,False,False,False,False
11,chr1,RNF223,1.6437202489665073,0.4305374223951951,False,False,False,False,False
12,chr1,C1orf159,1.5102989380621683,0.37528041813350377,False,False,False,False,False
13,chr1,TTLL10,2.2020745862061384,0.555562156162206,False,False,False,False,False
14,chr1,TNFRSF18,2.032396413061842,0.5333652505485091,False,False,False,False,False
15,chr1,TNFRSF4,2.056331166499193,0.4865974461163781,False,False,False,False,False
16,chr1,SDF4,1.756701006569789,0.4373078012353108,False,False,True,False,True
17,chr1,B3GALT6,1.7690090144979147,0.44264151654540185,False,False,True,False,True
18,chr1,C1QTNF12,1.839835337851764,0.4888507551771876,False,False,False,False,False
19,chr1,UBE2J2,1.5164797685111362,0.3871671264290627,False,False,False,False,False
20,chr1,SCNN1D,1.7665437544241431,0.43395312427912724,False,False,False,False,False
21,chr1,ACAP3,1.6233276982336293,0.4086725783939895,False,False,True,False,True
22,chr1,PUSL1,1.646832084347016,0.41976347679681064,False,False,True,False,True
23,chr1,INTS11,1.7088573374946703,0.432454447248582,False,False,True,False,True
24,chr1,CPTP,1.6996005218167844,0.43140343137385523,False,False,True,False,True
25,chr1,TAS1R3,1.969544953809996,0.4665440754478096,False,False,False,False,False
26,chr1,DVL1,1.5884716730492234,0.4120596150130939,False,False,False,False,False
27,chr1,MXRA8,1.727615493456364,0.4102508972972851,False,False,False,False,False
28,chr1,AURKAIP1,1.394939648037987,0.3516967189178037,False,False,False,False,False
29,chr1,CCNL2,1.4043332101124795,0.359646567026847,False,False,False,False,False
30,chr1,MRPL20,1.3730948861021417,0.3460693316258636,False,False,False,False,False
31,chr1,ANKRD65,1.8450053787162972,0.4562859995578812,False,False,True,False,True
32,chr1,TMEM88B,1.6396621962724285,0.4185577520285388,False,False,True,False,True
33,chr1,VWA1,2.01139464228016,0.5196254963642307,False,False,False,False,False
34,chr1,ATAD3C,1.4597304467860097,0.38244306465796435,False,False,False,False,False
35,chr1,ATAD3B,1.2235873225829361,0.35556728825186973,False,False,False,False,False
36,chr1,ATAD3A,1.2529149861204523,0.29330666757683665,False,False,False,False,False
37,chr1,TMEM240,1.891221838438813,0.4705214240220174,False,False,False,False,False
38,chr1,SSU72,1.3685948396291276,0.3691332989107389,False,False,False,False,False
39,chr1,FNDC10,1.915817480696802,0.5088028312241496,False,False,False,False,False
40,chr1,MIB2,1.477496619690227,0.35494445855820816,False,False,False,False,False
41,chr1,MMP23B,1.265460894893384,0.31448420215649725,False,False,False,False,False
42,chr1,CDK11B,0.9130134989600406,0.2686904664485859,False,False,False,False,False
43,chr1,SLC35E2B,0.7272964184548634,0.22759908631905648,False,False,False,False,False
44,chr1,CDK11A,0.8659208153116975,0.26054372214333493,False,False,False,False,False
45,chr1,NADK,1.2281820915767312,0.3115839283625642,False,False,False,False,False
46,chr1,GNB1,1.4494021075081154,0.41035390471733574,False,False,False,False,False
47,chr1,CALML6,1.656024866438741,0.3919875455961665,False,False,True,False,True
48,chr1,TMEM52,1.9146366389558116,0.4629338086259016,False,False,True,False,True
49,chr1,CFAP74,1.7817246410437542,0.4816279923316956,False,False,False,False,False
50,chr1,GABRD,2.1423996758468933,0.5210978568296084,False,False,False,False,False
51,chr1,PRKCZ,1.8849653683195136,0.516856611346056,False,False,False,False,False
52,chr1,FAAP20,1.5198535109965279,0.3766407841316546,False,False,False,False,False
53,chr1,SKI,1.3164463846040968,0.36692767650449687,False,False,False,False,False
54,chr1,MORN1,1.5231668277086838,0.4116312611947879,False,False,True,False,True
55,chr1,RER1,1.5143640672943874,0.4136589161402862,False,False,True,False,True
56,chr1,PEX10,1.651293539406791,0.4760051962142552,False,False,False,False,False
57,chr1,PLCH2,2.5576255188344548,0.6521116565636198,False,False,False,True,True
58,chr1,PANK4,1.7326468530940073,0.4704804412582005,False,False,True,False,True
59,chr1,HES5,1.6716904711789915,0.48736746506796585,False,False,True,False,True
60,chr1,TNFRSF14,1.4804828853122047,0.3494197332553173,False,False,False,False,False
61,chr1,PRXL2B,1.4708469074905877,0.37629820368952777,False,False,False,False,False
62,chr1,MMEL1,2.150624880691848,0.5887363900986169,True,False,False,False,True
63,chr1,TTC34,2.1750619303182637,0.6220925394322727,False,False,False,False,False
64,chr1,ACTRT2,2.46638658573109,0.5823256459726147,False,False,False,False,False
65,chr1,PRDM16,2.3531681682772545,0.6038513878548916,False,False,False,False,False
66,chr1,ARHGEF16,2.0521020714167166,0.5517810826581285,False,False,False,False,False
67,chr1,MEGF6,2.075081171928437,0.509716117669158,False,False,False,False,False
68,chr1,TPRG1L,1.516474856011407,0.3672225226463712,False,False,False,False,False
69,chr1,WRAP73,1.7820645370055528,0.4867235653912947,False,False,True,False,True
70,chr1,TP73,1.840428082045372,0.4838352287677936,False,False,True,False,True
71,chr1,CCDC27,1.8700517312837228,0.46694646876814266,False,False,False,False,False
72,chr1,SMIM1,1.8616514634485841,0.3875449079681456,False,False,False,False,False
73,chr1,LRRC47,1.5643489271640667,0.3820028470127508,False,False,False,False,False
74,chr1,CEP104,1.669641982269081,0.42769919286000846,False,False,True,False,True
75,chr1,DFFB,1.6694938145935176,0.4249897623717263,False,False,True,False,True
76,chr1,C1orf174,1.6591713699987571,0.38165299059656677,False,False,False,False,False
77,chr1,AJAP1,2.154583371519977,0.5484079034056107,False,False,False,False,False
78,chr1,NPHP4,1.74131033575418,0.4231306132120215,False,False,False,False,False
79,chr1,KCNAB2,2.1386670456508448,0.5217485466532046,False,False,False,False,False
80,chr1,CHD5,2.1162919992212808,0.5459619663345358,False,False,False,False,False
81,chr1,,1.6281802845230038,0.39222272846358425,False,False,True,False,True
82,chr1,RPL22,1.5375522588145578,0.37036641073961757,False,False,True,False,True
83,chr1,RNF207,1.5843438140466792,0.4286736787807654,False,False,False,False,False
84,chr1,ICMT,1.6127694090692224,0.4505373264095946,False,False,False,False,False
85,chr1,HES3,1.8146618437401922,0.449134638092715,False,False,False,False,False
86,chr1,GPR153,2.052961111814649,0.5298172180985694,False,False,False,False,False
87,chr1,ACOT7,1.711875888884005,0.3776215721424715,False,False,False,False,False
88,chr1,HES2,2.307165360250861,0.5757518576432622,False,False,True,False,True
89,chr1,ESPN,2.308879516381737,0.5193148229617041,False,False,True,False,True
90,chr1,TNFRSF25,2.1758402639538352,0.5174481384032354,False,False,False,False,False
91,chr1,PLEKHG5,2.0465322547038767,0.5210786656410028,False,False,False,False,False
92,chr1,NOL9,1.581792915743274,0.36597910979495135,False,False,True,False,True
93,chr1,TAS1R1,1.5654062821793555,0.36681313820565126,False,False,True,False,True
94,chr1,ZBTB48,1.5621666534681444,0.38067558416714226,False,False,False,False,False
95,chr1,KLHL21,1.3643940549152338,0.32546102270736793,False,False,False,False,False
96,chr1,PHF13,1.215717264271741,0.3176846280432761,False,False,False,False,False
97,chr1,THAP3,1.7436151894096936,0.4370497550537719,False,False,False,False,False
98,chr1,DNAJC11,1.6552017133232355,0.42010809777213587,False,False,False,False,False
99,chr1,CAMTA1,1.5721507511137849,0.38101625377247883,False,False,False,False,False
100,chr1,VAMP3,1.7623182564800455,0.48233859921197353,False,False,False,False,False
101,chr1,PER3,1.5324022078207407,0.35072489596806605,False,False,False,False,False
102,chr1,UTS2,1.9570923488415362,0.5349041790705551,False,False,False,False,False
103,chr1,TNFRSF9,1.7204895005864638,0.46092485476419587,False,False,False,False,False
104,chr1,PARK7,1.3486103156967142,0.3294265222489202,False,False,False,False,False
105,chr1,ERRFI1,1.8738536323329036,0.4423792562793626,False,False,False,False,False
106,chr1,SLC45A1,2.0874891150500177,0.5299452316286603,False,False,False,False,False
107,chr1,RERE,1.548074717177055,0.3646735266922378,False,False,False,False,False
108,chr1,ENO1,1.2292514882422965,0.33361677226913405,False,False,False,False,False
109,chr1,CA6,1.9662199921587993,0.49633723037467464,False,False,False,False,False
110,chr1,SLC2A7,2.01290517245075,0.510193405397645,False,False,False,False,False
111,chr1,SLC2A5,1.831909878979749,0.4672569628389868,False,False,False,False,False
