chrom,encode_blacklist_bp,gc_exclusion_bp
chr1,22828000,24647332
chr2,8507200,84987498
chr3,4457700,5241494
chr4,3469000,4564175
chr5,6645900,7437713
chr6,2503600,9597080
chr7,4591600,6456283
chr8,3747600,9907306
chr9,26931500,30199651
chr10,2648000,5077221
chr11,3914500,6060146
chr12,2899500,3269236
chr13,2072900,18805172
chr14,19965900,22008879
chr15,24576500,24742459
chr16,11355300,17255110
chr17,5055400,6361111
chr18,5897800,7032518
chr19,3717000,4722020
chr20,3202900,5883402
chr21,12131700,19157876
chr22,5676200,17802506
chrX,8445200,10790234
